Entity,Code,Year,Per capita CO2 emissions
Brazil,BRA,2018,2.227773
Canada,CAN,2018,15.81941
China,CHN,2018,6.974106
France,FRA,2018,5.104175
Germany,DEU,2018,9.087175
India,IND,2018,1.91575
Italy,ITA,2018,5.741419
Japan,JPN,2018,8.928224
Russia,RUS,2018,11.605805
South Korea,KOR,2018,12.407842
United Kingdom,GBR,2018,5.66171
United States,USA,2018,16.584983
Brazil,BRA,2019,2.206661
Canada,CAN,2019,15.413929
China,CHN,2019,7.096383
France,FRA,2019,4.970784
Germany,DEU,2019,8.404937
India,IND,2019,1.914823
Italy,ITA,2019,5.567072
Japan,JPN,2019,8.72351
Russia,RUS,2019,11.50575
South Korea,KOR,2019,11.932908
United Kingdom,GBR,2019,5.477246
United States,USA,2019,16.059735
